,Comapny_Name,Role,City/Zip,Datetime_Posted
145,Splendid Hospitality,newConference & Banqueting Porter,London,1 day ago
146,Priory Group,Housekeeper Weekend,London,9 days ago
147,Exclusive Household Staff,newLive-out Housekeeper,London,6 days ago
148,Progressis,newDAILY HOUSEKEEPER/COOK - Mayfair,Mayfair,1 day ago
150,KT&T Limited,newHotel Cleaner,London+1 location,1 day ago
151,Setsquare Recruitment,Cleaner,London,12 days ago
153,LXR by Hilton,newAssistant Executive Housekeeper,London,2 days ago
154,The Property Recruitment Company,newHEAD HOUSEKEEPER - CENTRAL LONDON,London,2 days ago
155,FAIRMONT,"newEvent/ Banqueting Porter, The Savoy",London WC2N 5DN,2 days ago
156,Hilton Hotels & Resorts,newNight Porter,London,1 day ago
157,Progressis,newDAILY HOUSEKEEPER - FLUENT TAGALOG,London+1 location,1 day ago
159,The London Clinic,newHousekeeping Assistant (Evenings),London W1G,2 days ago
160,Interserve,Domestic Assistant,London NW1,9 days ago
161,ecosense cleaning,Night Cleaner required - Monument,Monument Station,21 days ago
162,Melia Hotels International,Housekeeping Porter,London,15 days ago
165,Nuffield Health,newCleaning Team Leader - Barbican Fitness & Wellbeing Centre,Barbican,1 day ago
166,Norse Group,Casual Cleaner - Enfield,London,20 days ago
168,WGC,newHead Housekeeper,London W2 3NA,1 day ago
169,"Marriott International, Inc",newPublic Area Cleaner Casual/Zero hours - JW Marriott Grosveno...,London W1K,Today
170,Resourcing Group,Estate Cleaner,London,8 days ago
171,Abbatt Property Services,Cleaner,London,9 days ago
173,APJ SERVICES (LONDON) LTD,newBus Cleaner,London,1 day ago
174,hub by Premier Inn,newhub Team Member - Room Attendant - £9.91ph - Permanent Full...,London SW1H 0DJ,6 days ago
177,Resourcing Group,cleaner,London,17 days ago
178,"Marriott International, Inc",newFacility Porter- HouseKeeping,London W1K 6JP,Today
179,Resourcing Group,Touch Point Cleaner,London,17 days ago
180,Nuffield Health,newMale Clean Team Member,Shoreditch+1 location,7 days ago
182,Premier Inn,Premier Inn London Kings Cross Team Member - Housekeeping,London N1 9AA,16 days ago
184,Aramark,newKitchen Porter,London E14 5JP,Today
185,One Aldwych Hotel,newEvening Room Attendant,London,1 day ago
188,Mandarin Oriental Hotel Group,newRoom Attendant,London,2 days ago
190,Fuller's,Head Housekeeper,London SW1H 9LA,10 days ago
192,Mission Care UK,Domestic Assistant,London,8 days ago
193,Bouygues Energies & Services Solutions,Cleaner (Nights) - 2100-0600,Southwark,8 days ago
194,Adecco UK,newSchool Cleaner,London,1 day ago
195,WGC,newHotel Room Cleaner,London W1A,5 days ago
197,ETM Group,Kitchen Porter,London EC2M 2QS,29 days ago
198,INNOV8 Cleaning Solutions Limited,Ambulance Deep Clean Operative,London,20 days ago
199,Doubletree by Hilton,Conference and Banqueting Porter,London,22 days ago
201,Service Care Solutions,Cleaner,London,9 days ago
202,Bee Quality Services UK Limited,newCleaner,London,1 day ago
203,Claibon,newCleaning Operative – temp to perm,London E15,5 days ago
204,Exclusive Household Staff,newWeekend Housekeeper,London,Today
205,Splendid Hospitality,Housekeeper,Euston,21 days ago
206,Jumeirah,Housekeeping Office Coordinator - The Carlton Tower Jumeirah,London,22 days ago
207,Progressis,newLIVE-IN HOUSEKEEPER - Mayfair,Mayfair,3 days ago
208,Blue Arrow,newCleaning Operative,London E14,7 days ago
209,Wecasa,newDomestic Cleaner Self Employed,London,3 days ago
211,St Pancras Hotel Group,"Room Attendant - New Opening, 4* Townhouse",London,12 days ago
212,ecosense cleaning,Weekend Cleaner required Immediate Start - Manor House,Manor House Station,9 days ago
213,hub by Premier Inn,newhub Team Member - Housekeeping,London WC1E 7HN,3 days ago
217,Melia Hotels International,Housekeeping Supervisor 1,London,15 days ago
218,Essential Employment,newStreet Cleaning Operative,London,2 days ago
219,Abbatt Property Services,newCleaners and Caretakers - Immediate Start,London,6 days ago
220,PPHE Hotel Group,newNight Kitchen Porter,London,6 days ago
221,Marshall Harber,Live In Housekeeper,London+1 location,22 days ago
223,Unilever,Global CMI D4G/Fabric Cleaning,London,26 days ago
224,ecosense cleaning,newMobile Night Cleaner London,London,1 day ago
226,Grafternow,Cleaner,London,11 days ago
227,Ganymede Solutions Ltd,PTS Train Cleaner - Based at Cricklewood - Night Shift (You...,London+1 location,26 days ago
228,"Marriott International, Inc",Housekeeping Attendant,London W1J 7BX,9 days ago
229,Daniel Owen- UK,Cleaner,London,16 days ago
231,hub by Premier Inn,hub Team Member - Housekeeping Room Attendant,London SW1H 9LL,16 days ago
233,Xtraclene cleaning co,mobile estate cleaner,London,17 days ago
234,My cleaners LTD,Cleaner,London,22 days ago
235,Pertemps Network Group,newBusiness Development Manager - Commercial Cleaning,London,6 days ago
238,Susan Hamilton Group,House Keeper,London,19 days ago
239,The Hoxton - Southwark,Public Area Attendant,London SE1,26 days ago
240,hub by Premier Inn,newhub Team Member - Housekeeping hub King's Cross,London N1 9FA,3 days ago
243,Kingston Centre for Independent Living Ltd,Cleaner,London,15 days ago
244,InterContinental Hotels,newHousekeeper - Self Checker,London,1 day ago
248,Lexington Catering,newKitchen Porter,London,3 days ago
252,Bouygues Energies & Services Solutions,School Cleaning Supervisor,Shoreditch,19 days ago
254,Sodexo,Kitchen Porter,London,29 days ago
260,Roshe Power Ltd,newCleaner,North London,1 day ago
261,"Marriott International, Inc",newCasual Room Attendant,London NW1 2AR,7 days ago
262,Platinum Hospitality,HOUSEKEEPER – UHNW,North London,20 days ago
263,North Downs Cleaning and Maintenance Ltd,newEARLY MORNING CLEANER,London,1 day ago
264,Eden Private Staff,Live in Housekeeper Nanny,London,11 days ago
265,Dorchester Collection,newSenior Housekeeper,London W1K 1QA,7 days ago
266,Claibon,Head Porter,London NW8,26 days ago
267,Four Seasons,Steward / Kitchen Porter,London,13 days ago
268,KT&T Limited,Cleaner,London,24 days ago
269,Alliance Care Professionals,"Domestic, Cleaner",London,22 days ago
270,Morgan Hunt,newHousekeeper/cleaner,London,1 day ago
271,Four Seasons,Residence Public Area Housekeeping Attendant,London,20 days ago
273,WGC,newAssistant Head Housekeeper,London E1W,5 days ago
275,Resourcing Group,BAU Cleaners,London,17 days ago
276,"Marriott International, Inc",newLuggage Porter Casual,London W1J 7BX,5 days ago
278,Aramark,Cleaning Services Worker II - Salaried,London SW7 1SE,14 days ago
279,Conrad Hotels & Resorts,Evening Housekeeping Supervisor,London,22 days ago
280,Zebra Nursing and Employment LTD,Domestic Cleaner,London,17 days ago
283,Resourcing Group,Day Janitor,London,17 days ago
284,Malmaison & Frasers,"newRoom Attendant, Hotel Du Vin",London,1 day ago
285,Malmaison & Frasers,"newRoom Attendant, Malmaison",London,1 day ago
