,Comapny_Name,Role,City/Zip,Datetime_Posted
898,Capital Computer Care,Weekend IT Cleaning Technician,London,30 days ago
899,Mitie,Technical Cleaning Operative,London SE1,15 days ago
900,Yard Sale Pizza,newWeekend Kitchen Porter,London,7 days ago
901,Chateau Denmark Ltd.,Room Attendant,London WC2H 0LA,8 days ago
903,Idlehurst Assset Management Ltd,Cleaner (part-time),Earls Court,23 days ago
904,Herbal Hill Ltd,newCaretaker/Housekeeping,London EC1R,6 days ago
905,Knighton Group,newcommunal cleaning operative,London E10 7NU,7 days ago
907,London Bridge Grind,newKitchen Porter,London SE1,3 days ago
908,Kricket - Soho,newKitchen Porter,London W1B,1 day ago
910,The London Management Company,Cleaning Supervisor,London W1U,30 days ago
911,Crimson Hotels,newAssistant Executive Housekeeper,London,5 days ago
912,ConiferGB,Linen Porter,London E20,25 days ago
914,New Linden Hotel,newRoom Attendant,London W2 4PS,2 days ago
915,Battersea Academy for Skills & Employment,Weekend Cleaning Operative - Battersea Power Station,London SW11,21 days ago
917,Sea Containers London - Housekeeping,Room Attendant,London SE1,21 days ago
918,The Seafood Bar,newKitchen Porter,London W1D 3SH,1 day ago
919,Travelodge,newHousekeeping Supervisor - Full Time - 40 hours per week,London E1 8AT,6 days ago
920,Yashin Sushi Bar,newKitchen Porter/Kitchen Assistant,London SW7 3RN,7 days ago
921,Red Radish,newKitchen Porter - Reading Festival,London,1 day ago
922,Chateau Denmark Ltd.,Room Attendant,London WC2H 0LA,8 days ago
923,City West Support Services,Housekeeper (W-end day),London EC4N 4TQ,14 days ago
925,Rocco Forte Hotels,Full time/Part time Room Attendant - Â£9.21 per hour,London,19 days ago
926,Palmer & Howells,newKitchen Porter,London SE21 7AL,7 days ago
927,The London Management Company,Cleaning Supervisor,London W1U,30 days ago
928,New Linden Hotel,newRoom Attendant,London W2 4PS,2 days ago
929,Disability Advice Service Lambeth,newJH-AO-30AUG21 PA/Carer/Cleaner wanted for gay disabled woman...,London SE11,2 days ago
930,Doubletree by Hilton Hotel - Kensington,newKitchen Porter,London,6 days ago
931,Mansley Serviced Apartments,Housekeeping Team Member,London SW5 9BN,13 days ago
932,Tavolino,Kitchen Porter,London SE1 2JP,19 days ago
934,Satay House,Kitchen Assistant/Porter,London W2 1PX,20 days ago
935,Best Western Mornington Hotel,Room Attendant,London SW1V 2DB,13 days ago
936,805 Restaurant,newKitchen Porter,London W2,6 days ago
937,Royal Quarter Group,newKitchen Porter,London SW1E 6AL,4 days ago
938,Crimson Hotels,newAssistant Executive Housekeeper,London,5 days ago
939,ConiferGB,Room attendant - 5 stars,London E20,30 days ago
940,Arc Le Salon,newFull Time Kitchen Porter,London,2 days ago
941,Taj Hotels London,Housekeeping Supervisor,London SW1E,26 days ago
944,Zizzi Restaurant Earl's Court,Kitchen Porter,London SW5 9QF,11 days ago
945,Chores and Paws International App,Experienced House Cleaners SW London,Battersea,20 days ago
948,The Real Greek,newKitchen Porter,London WC2E,1 day ago
950,BOUYGUES,Cleaning Supervisor,Vauxhall,16 days ago
951,The Avocado Show,Kitchen Porter,London,10 days ago
954,KX Recruit,Housekeeping Room Attendant,London N1 9FA,12 days ago
956,Compass Group,Housekeeper- The Wellington Hospital,London NW8 6PD,22 days ago
957,The Gate Restaurants Vegetarian & Vegan,newKitchen Porter,London W1H,1 day ago
958,St Athans Hotel,Hotel Room Attendant,London WC1H 9RE,26 days ago
959,Nestify Ltd,Self Employed cleaner- West London,London,20 days ago
960,Scape,Housekeeper,London WC1H,16 days ago
962,Tenon FM,Account / Area Cleaning and Contracts Manager,London,22 days ago
963,Trafalgar Hotels,Hotel Cleaner,London,13 days ago
965,Fairview Facilities Management Ltd,Cleaning Operative,London IG9,29 days ago
966,Pergola on the Wharf,Venue Porter,London E14 5AR,13 days ago
967,CCR,newHousekeeper / Nanny,Knightsbridge,2 days ago
968,Living Rooms,Housekeeping Supervisor,London W1S,28 days ago
970,Cycas Hospitality,Housekeeping Team Member - Immediate Start,Westminster,14 days ago
971,The Bread Station,Kitchen Porter - Deli cafe E8,London E8,12 days ago
973,Ralph Trustees,Room Attendant,London W1J 7BJ,15 days ago
974,Square Foot Cleaning Company,Commercial Cleaner (part-time),London W1J 6QR,23 days ago
975,Central Point Recruitment,newMorning Cleaner,London KT9,1 day ago
976,Unique Support Services,Kitchen Porter/Kitchen Assistant,London,21 days ago
977,Staycity Group,Housekeeping Attendant,London WC2N,15 days ago
980,KX Gym,newKitchen Porter & Driver,London SW3 3AL,Today
982,Wulf and Lamb,newKitchen Porter,London SW1X 0BP,1 day ago
983,"The Ivy Asia, Chelsea",Kitchen Porter,London SW3 5ED,13 days ago
984,The Pilgrm,Room Attendant,London W2 1HH,9 days ago
985,Chroda,newFull Time Cleaning Operative,London SW8,Just posted
986,The Sloane Club,Room Attendant/Housekeeping- Private Members Club,London SW1W 8BS,12 days ago
987,Lushlily Cleaning & Housekeeping Services,General housekeeping,Southwark,28 days ago
988,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
989,Omni Facilities Management Ltd,newRoom Attendant | London,London,2 days ago
990,Cleanstart Ltd,Cleaner for School - Enhanced DBS is essential,London SE24 0EL,17 days ago
991,Fadiga - Ristorante Bolognese,newKitchen Porter,London W1F,4 days ago
992,Calibre International,Housekeeping Supervisor,London,14 days ago
993,Sea Containers London - Housekeeping,Assistant Head Housekeeper,London SE1,15 days ago
994,Bounce Farringdon,Kitchen Porter,London EC1N,9 days ago
996,Greenwich Staycity Aparthotels,newNight Porter/Receptionist,Greenwich SE10 8JL,3 days ago
997,KT&T LTD,newSenior Housekeeper,London E14,2 days ago
999,Bella Italia St Martin s Lane,newKitchen Porter,London WC2N 4JS,7 days ago
1000,Chroda,newFull Time Cleaning Operative,London SW8,Just posted
1001,The Sloane Club,Room Attendant/Housekeeping- Private Members Club,London SW1W 8BS,12 days ago
1002,Lushlily Cleaning & Housekeeping Services,General housekeeping,Southwark,28 days ago
1003,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
1004,Omni Facilities Management Ltd,newRoom Attendant | London,London,2 days ago
1005,Cleanstart Ltd,Cleaner for School - Enhanced DBS is essential,London SE24 0EL,17 days ago
1006,Fadiga - Ristorante Bolognese,newKitchen Porter,London W1F,4 days ago
1007,Calibre International,Housekeeping Supervisor,London,14 days ago
1008,Sea Containers London - Housekeeping,Assistant Head Housekeeper,London SE1,15 days ago
1009,Bounce Farringdon,Kitchen Porter,London EC1N,9 days ago
1011,Greenwich Staycity Aparthotels,newNight Porter/Receptionist,Greenwich SE10 8JL,3 days ago
1012,KT&T LTD,newSenior Housekeeper,London E14,2 days ago
1014,Bella Italia St Martin s Lane,newKitchen Porter,London WC2N 4JS,7 days ago
1015,Chroda,newFull Time Cleaning Operative,London SW8,Just posted
1016,The Sloane Club,Room Attendant/Housekeeping- Private Members Club,London SW1W 8BS,12 days ago
1017,Lushlily Cleaning & Housekeeping Services,General housekeeping,Southwark,28 days ago
1018,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
1019,Omni Facilities Management Ltd,newRoom Attendant | London,London,2 days ago
1020,Cleanstart Ltd,Cleaner for School - Enhanced DBS is essential,London SE24 0EL,17 days ago
1021,Fadiga - Ristorante Bolognese,newKitchen Porter,London W1F,4 days ago
1022,Calibre International,Housekeeping Supervisor,London,14 days ago
1023,Sea Containers London - Housekeeping,Assistant Head Housekeeper,London SE1,15 days ago
1024,Bounce Farringdon,Kitchen Porter,London EC1N,9 days ago
1026,Greenwich Staycity Aparthotels,newNight Porter/Receptionist,Greenwich SE10 8JL,3 days ago
1027,KT&T LTD,newSenior Housekeeper,London E14,2 days ago
1029,Bella Italia St Martin s Lane,newKitchen Porter,London WC2N 4JS,7 days ago
1030,Chroda,newFull Time Cleaning Operative,London SW8,Just posted
1031,The Sloane Club,Room Attendant/Housekeeping- Private Members Club,London SW1W 8BS,12 days ago
1032,Lushlily Cleaning & Housekeeping Services,General housekeeping,Southwark,28 days ago
1033,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
1034,Omni Facilities Management Ltd,newRoom Attendant | London,London,2 days ago
1035,Cleanstart Ltd,Cleaner for School - Enhanced DBS is essential,London SE24 0EL,17 days ago
1036,Fadiga - Ristorante Bolognese,newKitchen Porter,London W1F,4 days ago
1037,Calibre International,Housekeeping Supervisor,London,14 days ago
1038,Sea Containers London - Housekeeping,Assistant Head Housekeeper,London SE1,15 days ago
1039,Bounce Farringdon,Kitchen Porter,London EC1N,9 days ago
1041,Greenwich Staycity Aparthotels,newNight Porter/Receptionist,Greenwich SE10 8JL,3 days ago
1042,KT&T LTD,newSenior Housekeeper,London E14,2 days ago
1044,Bella Italia St Martin s Lane,newKitchen Porter,London WC2N 4JS,7 days ago
1045,Chroda,newFull Time Cleaning Operative,London SW8,Just posted
1046,The Sloane Club,Room Attendant/Housekeeping- Private Members Club,London SW1W 8BS,12 days ago
1047,Lushlily Cleaning & Housekeeping Services,General housekeeping,Southwark,28 days ago
1048,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
1049,Omni Facilities Management Ltd,newRoom Attendant | London,London,2 days ago
1050,Cleanstart Ltd,Cleaner for School - Enhanced DBS is essential,London SE24 0EL,17 days ago
1051,Fadiga - Ristorante Bolognese,newKitchen Porter,London W1F,4 days ago
1052,Calibre International,Housekeeping Supervisor,London,14 days ago
1053,Sea Containers London - Housekeeping,Assistant Head Housekeeper,London SE1,15 days ago
1054,Bounce Farringdon,Kitchen Porter,London EC1N,9 days ago
1056,Greenwich Staycity Aparthotels,newNight Porter/Receptionist,Greenwich SE10 8JL,3 days ago
1057,KT&T LTD,newSenior Housekeeper,London E14,2 days ago
1059,Bella Italia St Martin s Lane,newKitchen Porter,London WC2N 4JS,7 days ago
1060,Chroda,newFull Time Cleaning Operative,London SW8,Just posted
1061,The Sloane Club,Room Attendant/Housekeeping- Private Members Club,London SW1W 8BS,12 days ago
1062,Lushlily Cleaning & Housekeeping Services,General housekeeping,Southwark,28 days ago
1063,Shaw Healthcare,newDomestic Supervisor 35 Hours At Maitland Park Care Home,London NW3 2DU,7 days ago
